Date received,Product,Company
3/7/2020,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
2/14/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
10/31/2019,"Credit reporting, credit repair services, or other personal consumer reports","Healthcare Receivable Professionals, LLC"
11/29/2018,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
10/27/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/16/2020,Debt collection,"TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/26/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/16/2020,Debt collection,"TRANSUNION INTERMEDIATE HOLDINGS, INC."
2/20/2019,Student loan,"Nelnet, Inc."
7/5/2019,Debt collection,"CCS Financial Services, Inc."
3/28/2019,Debt collection,Experian Information Solutions Inc.
3/16/2020,Debt collection,"TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/29/2019,Checking or savings account,"Colony Brands, Inc."
7/12/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/29/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
2/12/2019,Debt collection,"Certegy Holdings, LLC"
8/13/2019,Debt collection,USI Solutions Inc.
2/23/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
11/28/2018,"Credit reporting, credit repair services, or other personal consumer reports",CAPITAL ONE FINANCIAL CORPORATION
4/3/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/9/2019,Debt collection,Resurgent Capital Services L.P.
7/23/2019,Mortgage,M&T BANK CORPORATION
7/11/2019,Student loan,AES/PHEAA
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/29/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
8/1/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
6/17/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/2/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
1/13/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
4/2/2019,"Credit reporting, credit repair services, or other personal consumer reports",Innovis
3/19/2019,Checking or savings account,Comerica
3/29/2019,Debt collection,U.S. BANCORP
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/8/2019,Debt collection,"GOLD KEY CREDIT, INC."
3/28/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/4/2019,Mortgage,JPMORGAN CHASE & CO.
4/29/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
1/11/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
2/13/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/23/2019,Credit card or prepaid card,"CITIBANK, N.A."
3/24/2019,Debt collection,AFNI INC.
4/10/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
4/11/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/4/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/20/2019,Debt collection,"Dyck-O'Neal, Inc."
3/25/2019,Credit card or prepaid card,CAPITAL ONE FINANCIAL CORPORATION
5/27/2019,Debt collection,"HUNTINGTON NATIONAL BANK, THE"
8/2/2019,"Credit reporting, credit repair services, or other personal consumer reports",First Credit Services Inc.
8/12/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
8/16/2017,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/19/2019,Debt collection,Evergreen Financial Services Inc.
6/20/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
1/16/2020,"Credit reporting, credit repair services, or other personal consumer reports","Franklin Collection Service, Inc."
4/26/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/27/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/11/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/11/2019,"Credit reporting, credit repair services, or other personal consumer reports",Innovis
8/12/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
1/4/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
3/29/2019,Checking or savings account,"SANTANDER BANK, NATIONAL ASSOCIATION"
3/27/2019,Debt collection,"CITIBANK, N.A."
3/20/2019,Checking or savings account,BBVA FINANCIAL CORPORATION
4/9/2019,"Credit reporting, credit repair services, or other personal consumer reports","General Motors Financial Company, Inc."
8/5/2019,"Credit reporting, credit repair services, or other personal consumer reports",BMO HARRIS BANK NATIONAL ASSOCIATION
3/1/2019,Debt collection,ENCORE CAPITAL GROUP INC.
5/2/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
2/14/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/12/2019,Mortgage,Freedom Mortgage Company
10/24/2018,Vehicle loan or lease,TOYOTA MOTOR CREDIT CORPORATION
8/1/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
12/19/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
1/29/2020,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
3/4/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/21/2019,"Credit reporting, credit repair services, or other personal consumer reports","ECMC Group, Inc."
4/16/2019,"Money transfer, virtual currency, or money service","Automatic Data Processing, Inc."
3/22/2019,"Payday loan, title loan, or personal loan","Big Picture Loans, LLC"
2/20/2019,"Credit reporting, credit repair services, or other personal consumer reports",BARCLAYS BANK DELAWARE
4/9/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/19/2019,Credit card or prepaid card,Comerica
3/29/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/25/2019,Debt collection,Monterey Financial Services LLC
4/4/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/29/2019,Student loan,"Navient Solutions, LLC."
1/29/2019,Checking or savings account,CAPITAL ONE FINANCIAL CORPORATION
5/28/2019,Debt collection,Accelerated Servicing Group LLC
1/29/2019,Debt collection,TRANSWORLD SYSTEMS INC
3/22/2019,Student loan,WELLS FARGO & COMPANY
4/2/2019,"Credit reporting, credit repair services, or other personal consumer reports","SUNTRUST BANKS, INC."
4/16/2019,"Credit reporting, credit repair services, or other personal consumer reports",BARCLAYS BANK DELAWARE
4/12/2019,Credit card or prepaid card,SYNCHRONY FINANCIAL
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
1/14/2020,Debt collection,"Nationwide Recovery Systems, Ltd"
1/10/2019,Credit card or prepaid card,"BANK OF AMERICA, NATIONAL ASSOCIATION"
4/3/2019,Credit card or prepaid card,AMERICAN EXPRESS COMPANY
7/13/2016,Debt collection,Midwest Recovery Systems
3/23/2019,Debt collection,"CCS Financial Services, Inc."
3/31/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/3/2019,Credit card or prepaid card,AMERICAN EXPRESS COMPANY
4/9/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
3/9/2020,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/25/2019,Checking or savings account,JPMORGAN CHASE & CO.
5/20/2019,Debt collection,Experian Information Solutions Inc.
4/3/2019,Debt collection,"Merchants and Medical Credit Corporation, Inc."
4/2/2019,Vehicle loan or lease,VW Credit
8/12/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/5/2019,Vehicle loan or lease,"Security Auto Loans, Inc."
4/26/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
2/25/2019,Mortgage,"QUICKEN LOANS, INC."
4/3/2019,Credit card or prepaid card,AMERICAN EXPRESS COMPANY
4/3/2019,Checking or savings account,ALLY FINANCIAL INC.
3/31/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/19/2019,Checking or savings account,"CITIBANK, N.A."
6/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","CITIBANK, N.A."
3/28/2019,Checking or savings account,JPMORGAN CHASE & CO.
4/2/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
5/25/2017,Debt collection,TRANSWORLD SYSTEMS INC
4/8/2019,Debt collection,"Convergent Resources, Inc."
4/24/2019,"Credit reporting, credit repair services, or other personal consumer reports",Alliance Data Card Services
1/18/2019,Checking or savings account,"BANK OF AMERICA, NATIONAL ASSOCIATION"
4/5/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
12/19/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
12/18/2018,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
4/2/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
3/5/2019,Student loan,"Navient Solutions, LLC."
8/13/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/28/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/28/2019,Credit card or prepaid card,"CITIBANK, N.A."
9/18/2019,Debt collection,"Bilateral Credit Corp, LLC"
4/2/2019,Student loan,"Navient Solutions, LLC."
4/9/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/3/2019,Credit card or prepaid card,AMERICAN EXPRESS COMPANY
12/10/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
3/29/2019,Debt collection,Alliance Data Card Services
4/7/2019,Debt collection,Experian Information Solutions Inc.
4/2/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/4/2019,Debt collection,"Quick Bridge Funding, LLC"
4/6/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/24/2019,Checking or savings account,JPMORGAN CHASE & CO.
6/29/2016,Debt collection,"Financial Credit Service, Inc."
4/2/2019,Student loan,"Navient Solutions, LLC."
4/11/2019,Mortgage,INVESTORS BANK
4/2/2019,"Credit reporting, credit repair services, or other personal consumer reports",DISCOVER BANK
4/25/2019,Debt collection,"EVERGREEN PROFESSIONAL RECOVERIES, INC."
4/4/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
1/11/2019,Credit card or prepaid card,Blackhawk Network Holdings Inc.
12/4/2019,Debt collection,"Mid-Atlantic Finance Co., Inc."
4/27/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/1/2019,Credit card or prepaid card,"BANK OF AMERICA, NATIONAL ASSOCIATION"
2/19/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
3/25/2019,Debt collection,Resurgent Capital Services L.P.
4/1/2019,Debt collection,"Merchants and Medical Credit Corporation, Inc."
