Date received,Product,Company
2/29/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/21/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/29/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/29/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
12/13/2018,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
11/19/2019,Debt collection,"Franklin Collection Service, Inc."
4/22/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/10/2019,Student loan,AES/PHEAA
2/12/2019,Checking or savings account,"Paypal Holdings, Inc"
3/27/2019,Vehicle loan or lease,"General Motors Financial Company, Inc."
12/20/2018,"Credit reporting, credit repair services, or other personal consumer reports",NAVY FEDERAL CREDIT UNION
4/7/2019,Student loan,AES/PHEAA
4/11/2019,Debt collection,Patenaude & Felix APC
2/25/2019,"Payday loan, title loan, or personal loan",BB&T CORPORATION
7/10/2019,Debt collection,"Prosper Marketplace, Inc."
4/19/2019,"Credit reporting, credit repair services, or other personal consumer reports",Alliance Data Card Services
7/3/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/15/2019,"Credit reporting, credit repair services, or other personal consumer reports",TD BANK US HOLDING COMPANY
4/1/2019,Mortgage,JPMORGAN CHASE & CO.
4/6/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
4/15/2019,Checking or savings account,"FIRST CITIZENS BANCSHARES, INC."
7/13/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/13/2019,"Credit reporting, credit repair services, or other personal consumer reports",Innovis
4/13/2019,"Credit reporting, credit repair services, or other personal consumer reports","Navient Solutions, LLC."
7/18/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/10/2019,"Payday loan, title loan, or personal loan","Navient Solutions, LLC."
1/15/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
3/31/2019,Debt collection,TD BANK US HOLDING COMPANY
5/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","GLOBAL CLIENT SOLUTIONS, LLC"
3/28/2019,Credit card or prepaid card,DISCOVER BANK
6/10/2019,Checking or savings account,"GREAT WESTERN BANCORP, INC."
4/23/2019,Student loan,WELLS FARGO & COMPANY
5/10/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
10/2/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/12/2019,"Credit reporting, credit repair services, or other personal consumer reports",CORELOGIC INC
1/30/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
6/21/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/21/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/22/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/12/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
7/6/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/15/2019,Student loan,"Navient Solutions, LLC."
3/2/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/30/2019,Debt collection,Argon Credit
1/16/2019,Debt collection,Experian Information Solutions Inc.
10/9/2019,Debt collection,"Convergent Resources, Inc."
5/5/2019,"Credit reporting, credit repair services, or other personal consumer reports",CIG FINANCIAL LLC
1/2/2019,Debt collection,CAPITAL ONE FINANCIAL CORPORATION
4/25/2019,Checking or savings account,WELLS FARGO & COMPANY
4/2/2019,Mortgage,TD BANK US HOLDING COMPANY
4/9/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/19/2019,Checking or savings account,HSBC NORTH AMERICA HOLDINGS INC.
3/29/2019,Credit card or prepaid card,DISCOVER BANK
5/4/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/1/2019,Debt collection,Grant & Weber
4/16/2019,Checking or savings account,JPMORGAN CHASE & CO.
5/24/2019,Checking or savings account,"BANK OF AMERICA, NATIONAL ASSOCIATION"
5/24/2019,Credit card or prepaid card,"CITIBANK, N.A."
4/16/2019,Debt collection,"NRA Group, LLC"
4/25/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
3/29/2019,"Credit reporting, credit repair services, or other personal consumer reports","CITIBANK, N.A."
3/23/2019,Checking or savings account,Allied Interstate LLC
3/24/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
6/13/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/1/2019,Checking or savings account,REGIONS FINANCIAL CORPORATION
4/26/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
11/7/2019,Checking or savings account,BANK OF THE WEST
3/27/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/8/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/5/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
2/8/2019,Debt collection,FORD MOTOR CREDIT CO.
4/3/2019,Credit card or prepaid card,AMERICAN EXPRESS COMPANY
4/26/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/16/2019,"Credit reporting, credit repair services, or other personal consumer reports",Alliance Data Card Services
2/5/2019,Mortgage,"HOMEBRIDGE FINANCIAL SERVICES, INC."
1/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
8/1/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/10/2019,Debt collection,"Hunter Warfield, Inc."
4/30/2019,Checking or savings account,"BANK OF AMERICA, NATIONAL ASSOCIATION"
5/5/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
1/17/2019,Mortgage,UNITED SERVICES AUTOMOBILE ASSOCIATION
2/28/2019,Debt collection,"Convergent Resources, Inc."
4/14/2019,Debt collection,"Credence Resource Management, LLC"
4/22/2019,Mortgage,"Shellpoint Partners, LLC"
2/15/2019,"Credit reporting, credit repair services, or other personal consumer reports","SANTANDER BANK, NATIONAL ASSOCIATION"
4/22/2019,"Credit reporting, credit repair services, or other personal consumer reports","ID Analytics, Inc."
2/18/2019,Credit card or prepaid card,JPMORGAN CHASE & CO.
6/3/2019,Checking or savings account,"BANK OF AMERICA, NATIONAL ASSOCIATION"
4/4/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
7/9/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/26/2019,Debt collection,"Law Office of Michael J. Scott, PC"
5/3/2017,Debt collection,"iQuantified Management Services, LLC"
7/14/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/18/2019,Checking or savings account,JPMORGAN CHASE & CO.
4/16/2019,"Credit reporting, credit repair services, or other personal consumer reports","Community Health Investment Company, LLC."
12/21/2018,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
4/3/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
6/21/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/16/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/13/2019,Mortgage,"Shellpoint Partners, LLC"
4/12/2019,"Credit reporting, credit repair services, or other personal consumer reports","KLS Financial Services, Inc"
5/31/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
1/12/2019,"Credit reporting, credit repair services, or other personal consumer reports","SUNTRUST BANKS, INC."
6/10/2019,Debt collection,Global Lending Services LLC
6/21/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/22/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/18/2019,Mortgage,"Shellpoint Partners, LLC"
4/18/2019,Debt collection,Experian Information Solutions Inc.
4/18/2019,Debt collection,Experian Information Solutions Inc.
4/18/2019,Debt collection,"Receivables Performance Management, LLC"
7/6/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/19/2019,Checking or savings account,"CITIBANK, N.A."
2/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/29/2019,Mortgage,Ditech Financial LLC
6/22/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
7/15/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/12/2019,Debt collection,"I.Q. DATA INTERNATIONAL, INC."
5/1/2019,Mortgage,"WESBANCO BANK, INC."
12/19/2018,Credit card or prepaid card,JPMORGAN CHASE & CO.
4/11/2019,Debt collection,"FAIR COLLECTIONS & OUTSOURCING, INC."
5/2/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/17/2019,"Credit reporting, credit repair services, or other personal consumer reports","Medical Data Systems, Inc."
4/29/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
2/26/2019,"Credit reporting, credit repair services, or other personal consumer reports","CITIBANK, N.A."
5/8/2019,"Money transfer, virtual currency, or money service","WESTERN UNION COMPANY, THE"
5/31/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/12/2019,Debt collection,PORTFOLIO RECOVERY ASSOCIATES INC
5/4/2019,"Credit reporting, credit repair services, or other personal consumer reports",GREAT LAKES
5/31/2019,Credit card or prepaid card,JPMORGAN CHASE & CO.
4/29/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/17/2019,"Credit reporting, credit repair services, or other personal consumer reports",CL Holdings LLC
4/26/2019,Debt collection,MAJR Financial Corp
4/12/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/9/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/9/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
7/5/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
1/30/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
3/29/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
3/25/2019,Student loan,MOHELA
3/29/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/28/2019,Checking or savings account,TD BANK US HOLDING COMPANY
2/14/2019,Credit card or prepaid card,AMERICAN EXPRESS COMPANY
5/14/2019,Debt collection,"AR Resources, Inc."
5/20/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
7/11/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
1/12/2019,Debt collection,ERC
4/3/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/23/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/18/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/25/2019,Debt collection,"TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/22/2019,"Credit reporting, credit repair services, or other personal consumer reports","HUNTINGTON NATIONAL BANK, THE"
1/11/2019,Student loan,"Navient Solutions, LLC."
4/3/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
6/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/24/2019,Checking or savings account,"Northern Trust Company, The"
5/21/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/15/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/9/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","Nelnet, Inc."
2/11/2019,"Credit reporting, credit repair services, or other personal consumer reports",NAVY FEDERAL CREDIT UNION
3/14/2020,Debt collection,CAPITAL ONE FINANCIAL CORPORATION
2/21/2019,"Credit reporting, credit repair services, or other personal consumer reports",AMERICAN EXPRESS COMPANY
4/3/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/4/2019,Debt collection,"The CMI Group, Inc."
4/4/2019,Credit card or prepaid card,FIFTH THIRD FINANCIAL CORPORATION
6/14/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
5/14/2019,Debt collection,"Amsher Collection Services, Inc."
4/8/2019,Checking or savings account,JPMORGAN CHASE & CO.
5/2/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/2/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
8/20/2019,Debt collection,"Byrider Franchising, LLC"
2/4/2019,Credit card or prepaid card,"BANK OF AMERICA, NATIONAL ASSOCIATION"
4/2/2019,Credit card or prepaid card,SYNCHRONY FINANCIAL
4/3/2019,"Money transfer, virtual currency, or money service","Paypal Holdings, Inc"
5/5/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/4/2019,"Credit reporting, credit repair services, or other personal consumer reports",FACTUAL DATA CORP.
5/7/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
2/26/2019,"Credit reporting, credit repair services, or other personal consumer reports",LEXISNEXIS
4/18/2019,Credit card or prepaid card,U.S. BANCORP
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/3/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/22/2019,Debt collection,PORTFOLIO RECOVERY ASSOCIATES INC
2/21/2019,Checking or savings account,BANK OF HAWAII CORPORATION
5/3/2019,Debt collection,"Firstsource Business Process Services, LLC"
3/29/2019,Credit card or prepaid card,"CITIBANK, N.A."
3/26/2019,Mortgage,PHH Mortgage Services Corporation
3/20/2019,Checking or savings account,CAPITAL ONE FINANCIAL CORPORATION
7/2/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
7/11/2019,"Credit reporting, credit repair services, or other personal consumer reports",Penn Credit Corporation
4/8/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
4/15/2019,Debt collection,Edward F Bukaty III
3/30/2019,Credit card or prepaid card,CAPITAL ONE FINANCIAL CORPORATION
5/24/2019,Credit card or prepaid card,TD BANK US HOLDING COMPANY
4/19/2019,Credit card or prepaid card,"CITIBANK, N.A."
6/24/2019,Debt collection,"TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/10/2019,Debt collection,"CITIBANK, N.A."
7/15/2019,"Credit reporting, credit repair services, or other personal consumer reports","CITIBANK, N.A."
6/14/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
7/8/2019,Debt collection,Resurgent Capital Services L.P.
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/28/2019,Debt collection,CAPITAL ONE FINANCIAL CORPORATION
6/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/22/2019,Credit card or prepaid card,PENTAGON FEDERAL CREDIT UNION
5/13/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/26/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/8/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
5/8/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/4/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
5/23/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
6/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/8/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
5/12/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/25/2019,Debt collection,"Collectech Diversified, Inc."
7/11/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/4/2019,Vehicle loan or lease,NCB Management Services Inc.
9/23/2019,Debt collection,Ad Astra Recovery Services Inc
4/28/2019,Credit card or prepaid card,AMERICAN EXPRESS COMPANY
5/25/2019,Debt collection,"Mandarich Law Group, LLP"
7/17/2019,Credit card or prepaid card,BARCLAYS BANK DELAWARE
6/14/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/9/2019,"Money transfer, virtual currency, or money service","WESTERN UNION COMPANY, THE"
5/3/2019,Debt collection,"McCarthy, Burgess & Wolff, Inc."
5/31/2019,"Credit reporting, credit repair services, or other personal consumer reports",CAPITAL ONE FINANCIAL CORPORATION
3/25/2019,Student loan,PENTAGON FEDERAL CREDIT UNION
3/26/2019,"Money transfer, virtual currency, or money service","Paypal Holdings, Inc"
2/22/2019,Debt collection,AMERICAN EXPRESS COMPANY
6/3/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/25/2019,"Credit reporting, credit repair services, or other personal consumer reports",LEXISNEXIS
5/25/2019,"Credit reporting, credit repair services, or other personal consumer reports",SYNCHRONY FINANCIAL
6/27/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/2/2019,Credit card or prepaid card,WELLS FARGO & COMPANY
5/21/2019,Debt collection,Alliance Data Card Services
8/21/2016,Debt collection,Midwest Recovery Systems
3/19/2019,Vehicle loan or lease,Bridgecrest Acceptance Corporation
4/5/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/23/2019,"Credit reporting, credit repair services, or other personal consumer reports",DISCOVER BANK
6/6/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/10/2019,Debt collection,ERC
4/18/2019,"Payday loan, title loan, or personal loan","Big Picture Loans, LLC"
7/5/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/13/2019,Mortgage,GUILD MORTGAGE COMPANY
2/15/2019,Debt collection,"PMAB,LLC"
3/31/2019,Debt collection,"Waypoint Resource Group, LLC"
4/24/2019,Checking or savings account,UNITED SERVICES AUTOMOBILE ASSOCIATION
7/9/2019,Debt collection,"General Service Bureau, Inc."
6/6/2019,Debt collection,"TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/16/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/11/2019,Debt collection,Hunt & Henriques
4/25/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/11/2019,"Payday loan, title loan, or personal loan",M&T BANK CORPORATION
12/28/2018,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
12/31/2018,Debt collection,Experian Information Solutions Inc.
6/6/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/17/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
7/10/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
7/7/2019,Mortgage,"SELECT PORTFOLIO SERVICING, INC."
6/14/2019,Debt collection,"TRANSUNION INTERMEDIATE HOLDINGS, INC."
2/9/2016,Mortgage,FIRSTBANK PUERTO RICO
4/5/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/28/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
6/13/2019,Debt collection,"NRA Group, LLC"
4/20/2019,Student loan,Performant Financial Corporation
5/8/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/18/2019,"Credit reporting, credit repair services, or other personal consumer reports",WELLS FARGO & COMPANY
4/16/2019,Vehicle loan or lease,CAPITAL ONE FINANCIAL CORPORATION
6/26/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
7/10/2019,Debt collection,"PlusFour, Inc"
2/21/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/30/2019,"Credit reporting, credit repair services, or other personal consumer reports",LEXISNEXIS
4/29/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
7/5/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/6/2019,Credit card or prepaid card,Alliance Data Card Services
6/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/14/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/23/2019,Debt collection,ERC
3/23/2019,"Credit reporting, credit repair services, or other personal consumer reports","CITIBANK, N.A."
3/28/2019,Debt collection,"Credit Central Holdings, LLC"
4/5/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/26/2019,Debt collection,"Waypoint Resource Group, LLC"
5/5/2019,"Credit reporting, credit repair services, or other personal consumer reports",Monterey Financial Services LLC
4/8/2019,Checking or savings account,CAPITAL ONE FINANCIAL CORPORATION
6/25/2019,Debt collection,The Receivable Management Services LLC
6/28/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/17/2019,Debt collection,CL Holdings LLC
3/12/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/6/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/4/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/4/2019,Debt collection,"Maury Cobb, Attorney at Law, LLC"
6/17/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
12/27/2018,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
10/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
10/9/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
3/25/2019,Debt collection,"Receivables Performance Management, LLC"
3/28/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
2/22/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
10/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/14/2019,"Credit reporting, credit repair services, or other personal consumer reports",PENTAGON FEDERAL CREDIT UNION
5/3/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/4/2019,Debt collection,"CASHCALL, INC."
3/28/2019,Debt collection,Alliance Data Card Services
3/30/2019,"Credit reporting, credit repair services, or other personal consumer reports",LEXISNEXIS
7/5/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/16/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/18/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
8/1/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/14/2019,Debt collection,"JH Portfolio Debt Equities, LLC"
3/5/2019,"Credit reporting, credit repair services, or other personal consumer reports","CITIBANK, N.A."
4/1/2019,Checking or savings account,TD BANK US HOLDING COMPANY
4/8/2019,Student loan,First Associates Loan Servicing LLC
3/22/2019,Debt collection,"WAKEFIELD & ASSOCIATES, INC."
3/25/2019,Student loan,"National Credit Services, Inc."
4/8/2019,Student loan,AES/PHEAA
4/16/2019,"Credit reporting, credit repair services, or other personal consumer reports","Fidelity National Information Services, Inc. (FNIS)"
6/28/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/6/2019,Student loan,TEXAS HIGHER EDUCATION COORDINATING BOARD
2/18/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/15/2019,"Credit reporting, credit repair services, or other personal consumer reports","Conn's, Inc."
4/8/2019,Debt collection,"Sequium Asset Solutions, LLC"
4/7/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/1/2019,Student loan,"Navient Solutions, LLC."
4/25/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/20/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/9/2019,Credit card or prepaid card,"CITIBANK, N.A."
4/18/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/18/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/9/2019,Debt collection,ERC
4/2/2019,"Credit reporting, credit repair services, or other personal consumer reports",Synovus Bank
3/29/2019,Debt collection,"I.C. System, Inc."
4/2/2019,Vehicle loan or lease,Santander Consumer USA Holdings Inc.
